ID,Name,Content,Page_URL,Image_URL,Category,Annual_fee,Form
97,다담카드(비 OTP),"KB국민 훈민정음 두번째 이야기, 모두의 이야기를 담은 카드",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09169,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09169_img.png,선택형,20000.0,
98,국민행복카드,보육료 및 임신·출산 진료비 지원 등 국가바우처 지원 가능,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=02065,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/02065_img.png,공공/정부지원,0.0,
99,스타트럭플러스 S-OIL카드,화물운전자를 위한 유가보조금 및 S-OIL 주유할인 지원카드,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04088,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04088_img.png,공공/정부지원,0.0,할인
100,STARTLUCK 카드,운송사업자들을 위한 든든한 지원 혜택의 힘,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=02076,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/02076_img.png,공공/정부지원,5000.0,
101,국방멤버쉽카드,직업 군인과 군무원 분들에게 꼭 필요한 세심한 혜택! KB국민 국방멤버쉽카드,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=00996,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/00996_img.png,공공/정부지원,0.0,
102,스타트럭 플러스 HD현대오일뱅크카드,화물운전자를 위한 유가보조금 및 HD현대오일뱅크 주유할인 지원카드,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04092,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04092_img.png,공공/정부지원,0.0,할인
103,KB국민 군인연금증 신용카드(사진),대한민국 군과 함께 풍요로운 노후,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04130,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04130_img.png,공공/정부지원,10000.0,
104,스타트럭Ⅱ GS칼텍스카드,주유만해도 리터당 최대 80원 할인!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04095,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04095_img.png,공공/정부지원,0.0,할인
105,SK내트럭 유가보조금카드,화물운전자를 위한 유가보조금 및 SK주유할인 지원카드,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04550,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04550_img.png,공공/정부지원,0.0,할인
106,보탬e전용카드,지방보조금 결제에 보탬이 되는,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09084,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09084_img.png,공공/정부지원,0.0,
107,HERITAGE Exclusive,"변함없는 가치, HERITAGE",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09129,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09129_img.png,Heritage,2000000.0,
108,HERITAGE Reserve(포인트형),"변함없는 가치, HERITAGE",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09127,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09127_img.png,Heritage,800000.0,
109,HERITAGE Reserve(스카이패스형),"변함없는 가치, HERITAGE",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09128,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09128_img.png,Heritage,800000.0,
110,HERITAGE Smart [할인형],"변함없는 가치, HERITAGE",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09125,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09125_img.png,Heritage,200000.0,할인
111,HERITAGE Smart [대한항공 마일리지형],"변함없는 가치, HERITAGE",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09126,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09126_img.png,Heritage,200000.0,적립
112,BeV Ⅴ카드 (포인트형),가치 그 이상의 VVIP 라이프,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09305&categoryCode=L0063&sGroupCode=3,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09305_img.png,VVIP,300000.0,
113,BeV Ⅲ 카드,가치 그 이상의 VVIP 라이프,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09310&categoryCode=L0064&sGroupCode=3,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09310_img.png,VVIP,210000.0,
114,BeV Ⅴ카드 (스카이패스형),가치 그 이상의 VVIP 라이프,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09306&categoryCode=L0063&sGroupCode=3,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09306_img.png,VVIP,300000.0,
115,가온플래티늄카드,품격있는 당신을 위한 차원이 다른 포인트 적립카드,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09152&categoryCode=L0079&sGroupCode=3,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09152_img.png,플래티늄카드,100000.0,적립
116,가온 플래티늄바우처카드,,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09200&categoryCode=L0080&sGroupCode=3,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09200_img.png,플래티늄카드,100000.0,
117,,,,,,,
118,,,,,,,
119,,,,,,,
120,,,,,,,
121,,,,,,,
122,,,,,,,
123,,,,,,,
124,,,,,,,
125,,,,,,,
126,,,,,,,
127,,,,,,,
128,,,,,,,
129,,,,,,,
