ID,Name,Content,Page_URL,Image_URL,Category
51,AK KB국민카드,쇼핑에 강한 AK와 생활에 강한 KB의 특별한 만남!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04444,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04444_img.png,쇼핑
52,H.Point KB국민카드,현대백화점그룹 멤버십 혜택에 KB국민카드 혜택을 더하다!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04415,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04415_img.png,쇼핑
53,사장님카드,K-사장님의 든든한 사업 파트너,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09291,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09291_img.png,쇼핑
54,EV 카드,전기차 이용자라면 꼭 필요한!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=00230,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/00230_img.png,주유/충전
55,캐시노트 KB국민카드,캐시노트 월정액과 사업지원 할인을 동시에,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04291,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04291_img.png,주유/충전
56,American Express Blue Card,매일 쓰는 영역 할인으로 내 생활에 착붙!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09115,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09115_img.png,주유/충전
57,EVO 티타늄카드,"Electric Vehicle Owners 전기차 오너들을 위한 친환경 생활, 기부 생활",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09267,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09267_img.png,주유/충전
58,Easy auto 티타늄카드,주유·정비·생활·보험! Easy하게 적립을 타고 달리는 기분!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09246,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09246_img.png,주유/충전
59,TMAP KB국민카드,"이용은 간편하게, 할인은 넉넉하게!",https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09389,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09389_img.png,주유/충전
60,E1 LPG KB국민카드,E1 충전소 할인은 기본! 풍성한 혜택으로 생활에너지 충전!,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04459,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04459_img.png,주유/충전
