대출 종류,상품이름,url,조건,개설 채널,대출 금액
담보대출,기존 근저당권 활용 주택자금대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000126&QSL=F,판매중단 상품,영업점,
담보대출,장애인자립자금대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000135&QSL=F,보건복지부 선정 성년등록장애인 대상,영업점,최고 5천만원
담보대출,법인 예금담보 임직원대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000163&QSL=F,직원복지 및 우리사주 취득 자금을 저금리 대출을 통해 지원~,영업점,최고 법인 추천 금액
담보대출,KB 주택구입자금대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000025&QSL=F,판매중단 상품,영업점,최고 대출가능금액 이내
담보대출,KB COFIX연동 모기지론,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000034&QSL=F,판매중단 상품,영업점,최고 대출가능금액 이내
담보대출,KB내집연금 연계대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000072&QSL=F,주택연금론 신청시 기대출 상환지원,영업점,최고 1천만원
담보대출,KB 그린리모델링 협약대출(가계),https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000100&QSL=F,에너지성능개선 공사 지원,영업점,최고 1억원
담보대출,KB 골든라이프 주택연금론,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000115&QSL=F,고가 주택을 소유하고 있지만 생활비가 부족한 고객을 위한 은행 자체 주택연금론,영업점,
담보대출,오피스텔 상가에 대한 중도금(잔금)대출(준주택 포함),https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000120&QSL=F,,영업점,최고 대출가능금액 이내
담보대출,주택리모델링(개량)자금대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000123&QSL=F,판매중단 상품,영업점,
담보대출,주택중도금대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000124&QSL=F,집단승인을 받지 않은 분양주택 중도금 대출 지원,영업점,최고 소요자금의 100% 이내
담보대출,부동산 담보대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000125&QSL=F,판매중단 상품,영업점,최고 대출가능금액 이내
담보대출,주택신축자금대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000127&QSL=F,판매중단 상품,영업점,최고 소요자금의 100% 이내
담보대출,부동산 담보대출 채무조정 전환제도,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000136&QSL=F,,영업점,최고 전환대출 신청시점의 대출잔액 범위 내
담보대출,토지분양자금대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000137&QSL=F,토지분양자금대출 지원,영업점,최고 분양계약서 상 분양가격의 50%와 지역별 대지의 담보평가금액 중 작은 금액
담보대출,주택담보대출 채무조정 전환제도,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000139&QSL=F,,영업점,최고 전환대출 신청시점의 대출잔액 범위 내
담보대출,KB 가업승계기업 상속/증여세 납부자금대출(부동산담보)[2022.9.30 판매중단],https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000143&QSL=F,,영업점,최고 대출가능금액 이내
담보대출,KB임대보증금반환자금보증대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000148&QSL=F,임대보증금 반환자금을 지원하는 대출상품,영업점,최고 5천만원
담보대출,KB 월상환액 고정형 주택담보대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000152&QSL=F,대출금리 변동에 관계없이 월상환액을 일정하게 유지하려면,영업점,최고 대출가능금액 이내
담보대출,KB 적격전환대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000116&QSL=F,,영업점,최고 기존대출 잔액 범위 내에서 최고 3억원 이하
담보대출,분양토지 중도금대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000117&QSL=F,,영업점,
담보대출,안심전환대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN20000158&QSL=F,안심전환대출 자가진단 체크리스트는 스타뱅킹에서!,스타뱅킹,최고 3.6억원
담보대출,부동산 담보신탁 수익증권증서 담보대출,https://obank.kbstar.com/quics?page=C103557&cc=b104363:b104516&isNew=N&prcode=LN30000001&QSL=F,,영업점,최고 대출가능금액 이내
전월세/반환보증,국민주택기금 만기대환 주택전세자금대출,https://obank.kbstar.com/quics?page=C103507&cc=b104363:b104516&isNew=N&prcode=LN20000129&QSL=F,주택도시기금 전세자금대출 만기 대환을 위한 전세자금 대출상품,영업점,최고 대출가능금액 이내
전월세/반환보증,KB 주택전세자금대출 (은행재원 협약보증),https://obank.kbstar.com/quics?page=C103507&cc=b104363:b104516&isNew=N&prcode=LN20000026&QSL=F,고객님의 전세금을 지원하는,영업점,최고 4억4천4백만원
전월세/반환보증,징검다리전세자금보증 주택전세자금대출,https://obank.kbstar.com/quics?page=C103507&cc=b104363:b104516&isNew=N&prcode=LN20000042&QSL=F,제2금융권 전세대출 상환지원,영업점,최고 대출가능금액 이내
전월세/반환보증,목돈 안드는 행복 주택전세자금대출[2022.9.30판매중단],https://obank.kbstar.com/quics?page=C103507&cc=b104363:b104516&isNew=N&prcode=LN20000049&QSL=F,한국주택금융공사 전세대출,영업점,최고 2억6천6백6십만원
전월세/반환보증,정책서민금융 이용자 특례보증 전세자금대출,https://obank.kbstar.com/quics?page=C103507&cc=b104363:b104516&isNew=N&prcode=LN20000104&QSL=F,정책서민금융 이용자의 이자부담을 덜어주는,영업점,최고 8천만원
전월세/반환보증,KB 신혼부부 전세자금대출,https://obank.kbstar.com/quics?page=C103507&cc=b104363:b104516&isNew=N&prcode=LN20000166&QSL=F,신혼부부 및 결혼예정자를 위한,영업점,최고 2억원
전월세/반환보증,KB 다둥이 전세자금대출,https://obank.kbstar.com/quics?page=C103507&cc=b104363:b104516&isNew=N&prcode=LN20000167&QSL=F,미성년 자녀 2인 이상 다둥이가구를 위한,영업점,최고 2억원
전월세/반환보증,[특판]KB 든든 주택전세자금대출,https://obank.kbstar.com/quics?page=C103507&cc=b104363:b104516&isNew=N&prcode=LN20001331&QSL=F,MOR 연동 24개월 변동금리를 사용하는 KB 주택전세자금대출 (은행재원 협약보증),영업점,최고 4억4천4백만원
전월세/반환보증,전세사기피해자 특례보증 전세자금대출,https://obank.kbstar.com/quics?page=C103507&cc=b104363:b104516&isNew=N&prcode=LN20001349&QSL=F,국토교통부의 전세사기피해자로 결정을 받은 고객님을 위한,영업점,최고 1억원
전월세/반환보증,KB전세금안심대출,https://obank.kbstar.com/quics?page=C103507&cc=b104363:b104516&isNew=N&prcode=LN20000064&QSL=F,전세보증금이 걱정될 때,영업점,최고 4억원
전월세/반환보증,[특판] KB 든든 전세금안심대출,https://obank.kbstar.com/quics?page=C103507&cc=b104363:b104516&isNew=N&prcode=LN20001332&QSL=F,MOR 연동 24개월 변동금리를 사용하는 KB 전세금안심대출,영업점,최고 4억원
전월세/반환보증,KB 플러스 전세자금대출,https://obank.kbstar.com/quics?page=C103507&cc=b104363:b104516&isNew=N&prcode=LN20000041&QSL=F,고객님의 전세금을 지원하는,영업점,최고 5억원
전월세/반환보증,KB 청년 맞춤형 전세자금대출,https://obank.kbstar.com/quics?page=C103507&cc=b104363:b104516&isNew=N&prcode=LN20000156&QSL=F,대학생 등 무소득자도 최대 2억원까지!,스타뱅킹,최고 2억원
전월세/반환보증,서울특별시 신혼부부 임차보증금대출,https://obank.kbstar.com/quics?page=C103507&cc=b104363:b104516&isNew=N&prcode=LN20000105&QSL=F,서울특별시 융자추천 고객 대상,영업점,최고 3억원
전월세/반환보증,KB스타 전세자금대출(HF_한국주택금융공사) NEW,https://obank.kbstar.com/quics?page=C103507&cc=b104363:b104516&isNew=N&prcode=LN20001362&QSL=F,NEW,스타뱅킹,최고 2억2천2백만원
전월세/반환보증,KB 군 간부 전세자금대출(기본),https://obank.kbstar.com/quics?page=C103507&cc=b104363:b104516&isNew=N&prcode=LN20000140&QSL=F,국방부 협약 전세자금대출,영업점,최고 대부승인금액 이내
전월세/반환보증,KB스타 전세자금대출(HUG_주택도시보증공사) NEW,https://obank.kbstar.com/quics?page=C103507&cc=b104363:b104516&isNew=N&prcode=LN20001364&QSL=F,NEW,스타뱅킹,최고 4억원
전월세/반환보증,KB 군 간부 월세자금대출,https://obank.kbstar.com/quics?page=C103507&cc=b104363:b104516&isNew=N&prcode=LN20000164&QSL=F,국방부 협약 월세자금대출,영업점,최고 월세 대부승인금액의 2배 이내
전월세/반환보증,KB스타 전세자금대출(갈아타기)(HF_한국주택금융공사),https://obank.kbstar.com/quics?page=C103507&cc=b104363:b104516&isNew=N&prcode=LN20001378&QSL=F,전세자금대출 갈아타기 전용상품(비대면전용),스타뱅킹,최고 2억2천2백만원
